-;-;-;-;-;X;Y
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1990;62140.0626687419
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1991;65738.1917751161
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1992;60236.4559803878
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1993;60660.7807889324
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1994;61034.437238383
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1995;64011.2305565678
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1996;67355.3429582996
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1997;67252.0967913926
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1998;66886.9856096636
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1999;65639.8805007098
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2000;66138.7895771373
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2001;70138.6878700655
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2002;71942.9596951273
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2003;77450.5030017877
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2004;77667.9703530357
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2005;79067.9612229297
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2006;76796.4911484262
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2007;74096.9731805197
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2008;73472.2669408691
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2009;67290.760248936
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2010;72000.28957722
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2011;69888.7386657081
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2012;67263.2737232364
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2013;67758.6062206802
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2014;64160.9373689562
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2015;66351.6189411779
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2016;67215.4566567337
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2017;69598.8536207038
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2018;66565.4083407604
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;2019;67962.4156165222
---EOD---
-;-;-;-;-;X;Y
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1990;62140.0626687419
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1991;65738.1917751161
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUT;Gg_CO2;1992;60236.4559803878
