-;-;-;-;-;X;Y
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1990;120307.910684726
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1991;123378.418115519
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1992;122504.884141796
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1993;121438.780067012
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1994;124807.755694424
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1995;125941.718360094
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1996;129480.002888906
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1997;123983.480523928
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1998;130209.028925644
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;1999;124700.660979104
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2000;126720.241443175
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2001;126065.432964852
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2002;126864.527770671
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2003;128250.338556029
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2004;128780.768065051
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2005;125640.800603584
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BEL;Gg_CO2;2006;123883.988301171
