-;-;-;-;-;X;Y
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1990;76698.6981537156
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1991;61517.2844560446
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1992;57365.1933722446
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1993;58425.942812613
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1994;56403.9448304566
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1995;57950.3261487967
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1996;58500.87026389
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1997;55856.0504313263
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1998;53174.8812404288
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;1999;46380.1434041286
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2000;45465.6871616351
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2001;48981.9243026523
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2002;46156.4207742657
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2003;50533.4388991788
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2004;49585.1206890645
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2005;50656.2866203887
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2006;51894.2373751694
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2007;55740.359447386
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2008;54079.0633075219
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2009;45814.6983522266
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2010;47860.7457614549
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2011;53176.4245020004
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2012;48340.6767147347
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2013;42680.4292557913
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2014;45216.884852715
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2015;48275.6192649028
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2016;45502.3979931879
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2017;47582.2940289078
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2018;43637.5289520427
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;BGR;Gg_CO2;2019;42222.5191984892
---EOD---
