X;Y
1990;103757.548838802
1991;96780.4349560862
1992;88858.7804845012
1993;76555.0410352434
1994;62505.113296854
1995;57507.9558653466
1996;58376.6323874059
1997;58919.6379600387
1998;57396.4256184251
1999;54902.2707086505
2000;54706.2379011791
2001;54770.3708791884
2002;54583.3881383248
2003;56105.0322309298
2004;59800.5562257538
2005;61126.616425179
2006;63934.0852336969
2007;63302.9259398489
2008;65439.2532864387
2009;61044.5789239176
2010;62774.8378503578
2011;61628.9206384737
2012;62674.2209256209
2013;63237.299781199
2014;62608.7743950159
2015;58037.5022240094
2016;59851.4171186928
2017;60115.6893169172
2018;60961.7598170316
2019;61022.4552604652
---EOD---
