-;-;-;-;-;X;Y
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1990;22977.7257232795
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1991;16986.189480382
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1992;16371.4315012433
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1993;16807.9785667786
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1994;16052.776578374
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1995;16816.4489149797
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1996;17344.0059899856
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1997;18557.19812851
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1998;19011.8504569682
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;1999;20022.9503076807
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2000;19660.5650079768
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2001;20783.2493354258
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2002;21887.7579454501
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2003;23214.3143626255
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2004;22891.5470270494
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2005;23345.5437941694
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2006;23554.1576701885
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2007;24866.3425278995
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2008;23598.6687135908
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2009;21808.5487791021
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2010;21019.2010852896
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2011;20651.9882283057
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2012;19088.5438552271
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2013;18435.6266835497
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2014;17682.2155666616
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2015;17817.2332719079
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2016;18083.0569063469
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2017;18718.0632053505
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2018;17698.2150886408
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;HRV;Gg_CO2;2019;17778.8377398237
---EOD---
