-;-;-;-;-;X;Y
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1990;278155.403911785
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1991;279529.931620889
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1992;284524.958711128
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1993;288871.349703431
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1994;293696.153623735
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1995;305002.587913022
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1996;311885.717399824
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1997;320282.213087614
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1998;334074.451750709
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;1999;343488.217538545
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2000;349635.060585577
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2001;357131.933904001
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2002;361540.446286757
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2003;369279.980835857
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2004;382821.979932645
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2005;386155.033530969
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2006;392385.871265719
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2007;399626.195164073
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2008;404233.15172011
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2009;407067.341877984
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2010;405106.165551648
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2011;403830.201097066
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2012;406152.011528631
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2013;397888.448353272
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2014;393952.980236436
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2015;401499.305661256
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2016;410968.519516886
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2017;414597.81806354
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2018;415339.708528084
UNSD:DF_UNData_UNFCC(1.0);A;EN_ATM_CO2E_XLULUCF;AUS;Gg_CO2;2019;416563.532777418
---EOD---
